midnight,midnightUTCOffset,dawn,dawnUTCOffset,sunrise,sunriseUTCOffset,sunset,sunsetUTCOffset,dusk,duskUTCOffset
2020-04-19 00:00:00-03:00,-3,2020-04-19 06:10:07-03:00,-3,2020-04-19 06:33:52-03:00,-3,2020-04-19 17:53:30-03:00,-3,2020-04-19 18:17:15-03:00,-3
2020-04-20 00:00:00-03:00,-3,2020-04-20 06:10:38-03:00,-3,2020-04-20 06:34:24-03:00,-3,2020-04-20 17:52:33-03:00,-3,2020-04-20 18:16:20-03:00,-3
2020-04-21 00:00:00-03:00,-3,2020-04-21 06:11:08-03:00,-3,2020-04-21 06:34:57-03:00,-3,2020-04-21 17:51:38-03:00,-3,2020-04-21 18:15:26-03:00,-3
2020-04-22 00:00:00-03:00,-3,2020-04-22 06:11:39-03:00,-3,2020-04-22 06:35:30-03:00,-3,2020-04-22 17:50:42-03:00,-3,2020-04-22 18:14:33-03:00,-3
2020-04-23 00:00:00-03:00,-3,2020-04-23 06:12:10-03:00,-3,2020-04-23 06:36:02-03:00,-3,2020-04-23 17:49:48-03:00,-3,2020-04-23 18:13:41-03:00,-3
2020-04-24 00:00:00-03:00,-3,2020-04-24 06:12:41-03:00,-3,2020-04-24 06:36:36-03:00,-3,2020-04-24 17:48:55-03:00,-3,2020-04-24 18:12:50-03:00,-3
2020-04-25 00:00:00-03:00,-3,2020-04-25 06:13:12-03:00,-3,2020-04-25 06:37:09-03:00,-3,2020-04-25 17:48:02-03:00,-3,2020-04-25 18:11:59-03:00,-3
2020-04-26 00:00:00-03:00,-3,2020-04-26 06:13:43-03:00,-3,2020-04-26 06:37:42-03:00,-3,2020-04-26 17:47:11-03:00,-3,2020-04-26 18:11:10-03:00,-3
2020-04-27 00:00:00-03:00,-3,2020-04-27 06:14:14-03:00,-3,2020-04-27 06:38:16-03:00,-3,2020-04-27 17:46:20-03:00,-3,2020-04-27 18:10:21-03:00,-3
2020-04-28 00:00:00-03:00,-3,2020-04-28 06:14:46-03:00,-3,2020-04-28 06:38:50-03:00,-3,2020-04-28 17:45:30-03:00,-3,2020-04-28 18:09:34-03:00,-3
2020-04-29 00:00:00-03:00,-3,2020-04-29 06:15:17-03:00,-3,2020-04-29 06:39:23-03:00,-3,2020-04-29 17:44:41-03:00,-3,2020-04-29 18:08:47-03:00,-3
2020-04-30 00:00:00-03:00,-3,2020-04-30 06:15:49-03:00,-3,2020-04-30 06:39:57-03:00,-3,2020-04-30 17:43:53-03:00,-3,2020-04-30 18:08:02-03:00,-3
2020-05-01 00:00:00-03:00,-3,2020-05-01 06:16:21-03:00,-3,2020-05-01 06:40:32-03:00,-3,2020-05-01 17:43:06-03:00,-3,2020-05-01 18:07:17-03:00,-3
2020-05-02 00:00:00-03:00,-3,2020-05-02 06:16:53-03:00,-3,2020-05-02 06:41:06-03:00,-3,2020-05-02 17:42:21-03:00,-3,2020-05-02 18:06:34-03:00,-3
2020-05-03 00:00:00-03:00,-3,2020-05-03 06:17:25-03:00,-3,2020-05-03 06:41:40-03:00,-3,2020-05-03 17:41:36-03:00,-3,2020-05-03 18:05:51-03:00,-3
2020-05-04 00:00:00-03:00,-3,2020-05-04 06:17:57-03:00,-3,2020-05-04 06:42:15-03:00,-3,2020-05-04 17:40:52-03:00,-3,2020-05-04 18:05:10-03:00,-3
2020-05-05 00:00:00-03:00,-3,2020-05-05 06:18:29-03:00,-3,2020-05-05 06:42:49-03:00,-3,2020-05-05 17:40:09-03:00,-3,2020-05-05 18:04:29-03:00,-3
2020-05-06 00:00:00-03:00,-3,2020-05-06 06:19:01-03:00,-3,2020-05-06 06:43:24-03:00,-3,2020-05-06 17:39:27-03:00,-3,2020-05-06 18:03:50-03:00,-3
2020-05-07 00:00:00-03:00,-3,2020-05-07 06:19:33-03:00,-3,2020-05-07 06:43:59-03:00,-3,2020-05-07 17:38:46-03:00,-3,2020-05-07 18:03:12-03:00,-3
2020-05-08 00:00:00-03:00,-3,2020-05-08 06:20:06-03:00,-3,2020-05-08 06:44:33-03:00,-3,2020-05-08 17:38:07-03:00,-3,2020-05-08 18:02:35-03:00,-3
2020-05-09 00:00:00-03:00,-3,2020-05-09 06:20:38-03:00,-3,2020-05-09 06:45:08-03:00,-3,2020-05-09 17:37:28-03:00,-3,2020-05-09 18:01:59-03:00,-3
